loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,title,inq_last_6mths,revol_bal,total_pymnt,total_rec_late_fee,last_pymnt_amnt,acc_open_past_24mths,delinq_amnt,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,loan_condition
6000, 36 months,8.81,190.27,A,A5,5 years,RENT,56500,Credit card refinancing,1,12404,376.14,0,190.27,10,0,0,45018,33550,8000,27418,1
20000, 36 months,12.98,673.69,B,B5,8 years,MORTGAGE,90000,Home improvement,2,12041,1325.75,0,673.69,8,0,0,301848,91380,16300,81881,1
12500, 60 months,11.8,276.8,B,B4,10+ years,MORTGAGE,75000,Debt consolidation,0,13348,541.31,0,276.8,3,0,0,175113,48467,13500,55313,1
18000, 60 months,11.8,398.59,B,B4,3 years,MORTGAGE,130000,Credit card refinancing,0,5000,696.88,0,398.59,2,0,0,510463,79874,23000,80000,1
3000, 36 months,8.19,94.28,A,A4,< 1 year,RENT,79992,Debt consolidation,0,4064,186.51,0,94.28,3,0,0,9400,4064,8600,0,1
3000, 36 months,8.81,95.14,A,A5,10+ years,MORTGAGE,36000,Home improvement,0,6041,188.08,0,95.14,4,0,0,57640,35791,3500,39140,1
18000, 36 months,7.02,555.96,A,A2,< 1 year,MORTGAGE,115000,Home improvement,0,39557,1101.39,0,555.96,7,0,0,699118,64273,246400,38618,1
10000, 36 months,10.72,326.07,B,B2,5 years,MORTGAGE,140000,Other,0,94368,643.21,0,326.07,2,0,0,550688,125540,33600,33088,1
4000, 36 months,17.97,144.55,D,D1,5 years,MORTGAGE,60000,Home buying,1,382,4049.916667,0,55.91,10,0,0,127200,46250,4200,59474,1
20000, 60 months,15.02,476.01,C,C3,4 years,MORTGAGE,65000,Debt consolidation,1,18378,926.99,0,476.01,9,0,0,171705,152179,44700,113105,1
21600, 36 months,7.56,672.49,A,A3,10+ years,RENT,75000,Debt consolidation,0,13374,1963.02,0,736.63,3,0,0,59100,29826,10400,19000,1
5000, 36 months,8.81,158.56,A,A5,10+ years,MORTGAGE,58000,Debt consolidation,2,3712,313.45,0,158.56,10,0,0,184073,29711,21200,26358,1
10000, 36 months,11.31,328.86,B,B3,10+ years,RENT,34000,Credit card refinancing,1,13843,648.3,0,328.86,5,0,0,30100,13843,19200,0,1
15600, 60 months,11.8,345.44,B,B4,4 years,MORTGAGE,90000,Home improvement,1,10597,675.54,0,345.44,9,0,0,427919,57224,42000,56348,1
19200, 60 months,18.94,497.43,D,D2,10+ years,MORTGAGE,80000,Credit card refinancing,0,31157,964.56,0,497.43,6,0,0,408750,55236,41200,29000,1
9375, 36 months,13.56,318.42,C,C1,10+ years,MORTGAGE,48500,Credit card refinancing,0,21101,626.25,0,318.42,7,0,0,267847,58203,24600,47005,1
10000, 60 months,12.98,227.43,B,B5,2 years,RENT,62000,Credit card refinancing,0,13949,444.04,0,227.43,2,0,0,50500,30552,14900,20000,1
4000, 36 months,6.46,122.53,A,A1,10+ years,MORTGAGE,119000,Debt consolidation,1,7464,120.38,0,122.53,7,0,0,817840,52694,50900,54040,1
2700, 36 months,8.19,84.85,A,A4,4 years,OWN,24000,Credit card refinancing,0,2696,2700.83813,0,2702.68,4,0,0,78017,75363,6000,70617,1
12000, 36 months,11.8,397.43,B,B4,nan,RENT,55000,Debt consolidation,0,12590,389.57,0,401.37,5,0,0,60102,37337,16400,39402,1
16000, 36 months,15.02,554.81,C,C3,< 1 year,MORTGAGE,24960,Medical expenses,1,21114,1089.59,0,554.81,1,0,0,392961,76861,29600,70250,1
35000, 36 months,16.14,1232.92,C,C4,5 years,RENT,125500,Debt consolidation,0,4943,2418.76,0,1232.92,7,0,0,24300,4943,24300,0,1
3000, 36 months,8.81,95.14,A,A5,< 1 year,RENT,85000,Credit card refinancing,1,11611,188.08,0,95.14,7,0,0,48743,20789,23700,21043,1
10000, 60 months,19.92,264.5,D,D3,2 years,RENT,54000,Debt consolidation,1,2524,512.4,0,264.5,2,0,0,10100,6311,4800,5300,1
15450, 36 months,11.8,511.69,B,B4,3 years,MORTGAGE,133600,Credit card refinancing,3,35013,9758.19,0,7511.69,10,0,0,174198,123944,49800,102898,1
40000, 36 months,8.19,1256.97,A,A4,2 years,MORTGAGE,100000,Major purchase,0,11296,1366.17,0,1393.47,6,0,0,139105,77090,17700,98805,1
7500, 36 months,7.02,231.65,A,A2,7 years,MORTGAGE,57000,Debt consolidation,0,5434,458.91,0,231.65,4,0,0,225461,18421,27300,20922,1
20500, 36 months,10.72,668.43,B,B2,3 years,RENT,77000,Credit card refinancing,0,20213,1239.2,0,668.43,2,0,0,94720,125031,14500,67920,1
4500, 36 months,19.92,167.06,D,D3,< 1 year,MORTGAGE,115800,Home improvement,0,16156,326.65,0,167.06,10,0,0,142067,59642,2000,42467,1
19000, 36 months,11.8,629.26,B,B4,9 years,MORTGAGE,77405,Debt consolidation,1,15506,1239.84,0,629.26,6,0,0,358863,75625,26500,64173,1
34800, 60 months,15.02,828.26,C,C3,< 1 year,RENT,106000,Debt consolidation,0,16907,1612.96,0,828.26,5,0,0,163632,117339,35200,116332,1
25000, 60 months,10.33,535.25,B,B1,10+ years,MORTGAGE,55758,Debt consolidation,0,20555,1070.52,0,535.25,1,0,0,284203,24310,86900,16403,1
11000, 60 months,11.8,243.58,B,B4,5 years,MORTGAGE,188000,Debt consolidation,0,12631,476.34,0,243.58,3,0,0,531840,102369,11000,94615,1
20075, 36 months,19.92,745.25,D,D3,8 years,OWN,50000,Debt consolidation,0,21168,1457.18,0,745.25,3,0,0,47300,32372,28800,18000,1
28000, 36 months,14.47,963.38,C,C2,4 years,MORTGAGE,130000,Debt consolidation,1,27001,1893,0,963.38,9,0,0,483940,73615,66300,50635,1
15000, 60 months,17.97,380.66,D,D1,7 years,RENT,65000,Credit card refinancing,0,4328,738.86,0,380.66,10,0,0,67194,40613,24100,39164,1
12000, 36 months,8.81,380.54,A,A5,nan,MORTGAGE,120000,Debt consolidation,0,18905,752.27,0,380.54,5,0,0,157280,123139,27400,110380,1
4000, 36 months,18.94,146.51,D,D2,1 year,RENT,73000,Credit card refinancing,2,3028,286.71,0,146.51,12,0,0,19700,3028,15200,0,1
5000, 36 months,7.02,154.44,A,A2,4 years,MORTGAGE,126000,Home improvement,3,9419,305.96,0,154.44,4,0,0,206327,34406,63200,38627,1
6025, 36 months,19.92,223.67,D,D3,< 1 year,RENT,21600,Credit card refinancing,1,1171,417.34,0,223.67,1,0,0,2500,1171,0,0,1
24000, 60 months,12.98,545.83,B,B5,10+ years,MORTGAGE,140000,Debt consolidation,1,42489,1065.7,0,545.83,6,0,0,528705,145356,125000,123596,1
1000, 36 months,23.4,38.92,E,E1,3 years,RENT,60000,Debt consolidation,0,13326,1022.649016,0,1024.6,2,0,0,156105,167564,18300,137805,1
5000, 36 months,14.47,172.04,C,C2,5 years,MORTGAGE,30000,Credit card refinancing,1,7598,338.05,0,172.04,3,0,0,136958,24126,12500,22858,1
19375, 36 months,13.56,658.06,C,C1,5 years,MORTGAGE,75000,Major purchase,0,12744,1294.23,0,658.06,5,0,0,448034,40641,37100,44234,1
15000, 36 months,10.72,489.1,B,B2,2 years,MORTGAGE,62000,Credit card refinancing,0,4573,964.8,0,489.1,4,0,0,35026,27671,6300,25726,1
14400, 36 months,16.14,507.26,C,C4,< 1 year,RENT,70000,Debt consolidation,1,17884,995.15,0,507.26,8,0,0,102039,84292,35300,65239,1
22500, 60 months,15.02,535.51,C,C3,1 year,MORTGAGE,85000,Debt consolidation,1,37908,1042.86,0,535.51,9,0,0,128849,74757,53600,55649,1
15000, 60 months,8.19,305.52,A,A4,2 years,RENT,63000,Debt consolidation,0,11695,600.8,0,305.52,1,0,0,76508,51091,13200,47000,1
20000, 36 months,8.19,628.49,A,A4,7 years,RENT,55000,Debt consolidation,0,21137,1243.33,0,628.49,1,0,0,109487,78371,33500,75987,1
15000, 36 months,8.19,471.37,A,A4,< 1 year,OWN,175000,Debt consolidation,1,18142,932.5,0,471.37,3,0,0,82918,66422,22500,59518,1
10000, 60 months,22.35,278.19,D,D5,6 years,RENT,51000,Debt consolidation,0,18077,352.7,0,371.32,9,0,0,96169,65824,10500,55269,1
15000, 36 months,7.56,467.01,A,A3,10+ years,MORTGAGE,200000,Home buying,0,19386,15063,0,15072.45,3,0,0,241487,19386,41000,0,1
9600, 36 months,8.81,304.43,A,A5,10+ years,MORTGAGE,95000,Home improvement,0,13915,601.81,0,304.43,3,0,0,362396,47448,16800,49944,1
10000, 36 months,10.72,326.07,B,B2,1 year,MORTGAGE,88340,Credit card refinancing,0,5866,643.21,0,326.07,3,0,0,274246,33680,7800,31501,1
12000, 36 months,12.98,404.22,B,B5,< 1 year,RENT,50000,Debt consolidation,0,6055,399.9,0,412.88,5,0,0,235703,32483,3000,36303,1
20000, 60 months,16.91,496.09,C,C5,4 years,RENT,92000,Debt consolidation,0,20792,964,0,496.09,1,0,0,129373,83386,33500,88473,1
24000, 36 months,8.19,754.18,A,A4,6 years,MORTGAGE,338000,Debt consolidation,0,26587,819.7,0,836.08,6,0,0,445462,114896,37900,116777,1
9000, 36 months,10.72,293.46,B,B2,nan,RENT,25400,Debt consolidation,1,9209,578.88,0,293.46,2,0,0,26244,14603,5700,12944,1
10000, 36 months,8.19,314.25,A,A4,10+ years,MORTGAGE,60000,Debt consolidation,0,4938,309.71,0,316.53,3,0,0,203299,16436,7500,28324,1
12000, 36 months,6.46,367.57,A,A1,6 years,RENT,38000,Debt consolidation,0,4394,728.68,0,367.57,2,0,0,97074,40761,16300,68174,1
10000, 60 months,11.8,221.44,B,B4,9 years,RENT,40000,Credit card refinancing,0,3930,433.05,0,221.44,4,0,0,81330,26717,30200,39730,1
28000, 60 months,8.81,578.66,A,A5,10+ years,MORTGAGE,103939,Debt consolidation,3,23341,1136.76,0,578.66,6,0,0,273827,69548,40000,60382,1
7000, 36 months,7.02,216.21,A,A2,7 years,MORTGAGE,38979,Debt consolidation,1,2961,428.32,0,216.21,4,0,0,157495,50314,26300,52095,1
40000, 60 months,10.72,864.13,B,B2,6 years,MORTGAGE,65000,Business,1,2176,1692.53,0,864.13,3,0,0,313576,34872,30000,52876,1
16000, 36 months,7.02,494.18,A,A2,nan,OWN,75000,Debt consolidation,1,24735,979,0,494.18,1,0,0,132951,82763,28400,78951,1
12000, 36 months,16.91,427.3,C,C5,4 years,RENT,90000,Debt consolidation,0,6947,837.69,0,427.3,2,0,0,55255,32052,5300,32292,1
10000, 36 months,7.56,311.34,A,A3,4 years,MORTGAGE,77600,Credit card refinancing,2,9073,616.38,0,311.34,3,0,0,149598,96130,50500,94298,1
13000, 60 months,10.72,280.84,B,B2,nan,MORTGAGE,0,Major purchase,0,32720,273.11,0,284.72,7,0,0,578219,128089,121700,114969,1
40000, 36 months,8.19,1256.97,A,A4,< 1 year,MORTGAGE,65000,Debt consolidation,0,24081,2486.64,0,1256.97,2,0,0,162528,42914,56600,29377,1
15000, 60 months,13.56,345.62,C,C1,2 years,MORTGAGE,70000,Debt consolidation,0,12924,674.29,0,345.62,4,0,0,130500,12924,27000,0,1
25000, 60 months,15.02,595.02,C,C3,10+ years,MORTGAGE,85000,Debt consolidation,0,19346,1312.46,0,747.75,3,0,0,403453,43701,24400,38245,1
11000, 60 months,8.19,224.05,A,A4,5 years,RENT,60000,Debt consolidation,1,9593,319.02,0,226.53,2,0,0,65683,53932,18200,46483,1
12000, 36 months,15.02,416.11,C,C3,< 1 year,RENT,65000,Debt consolidation,0,27944,817.2,0,416.11,3,0,0,86896,51111,52200,34000,1
15000, 36 months,6.46,459.47,A,A1,8 years,MORTGAGE,148000,Credit card refinancing,0,12281,910.86,0,459.47,10,0,0,491947,110144,16700,104978,1
38000, 36 months,12.98,1280.01,B,B5,6 years,MORTGAGE,36000,Debt consolidation,1,32362,2518.92,0,1280.01,3,0,0,447031,101105,31500,96360,1
10000, 36 months,7.56,311.34,A,A3,2 years,RENT,25000,Debt consolidation,1,10916,616.38,0,311.34,2,0,0,16800,10916,11500,0,1
7000, 36 months,11.31,230.21,B,B3,4 years,MORTGAGE,26000,Debt consolidation,0,757,230.21,0,236.81,3,0,0,19600,4757,5700,9600,1
25000, 60 months,17.97,634.43,D,D1,2 years,MORTGAGE,55000,Debt consolidation,1,29193,1231.42,0,634.43,6,0,0,489147,122468,21300,104592,1
10500, 36 months,7.56,326.91,A,A3,9 years,MORTGAGE,86000,Credit card refinancing,0,8758,647.2,0,326.91,1,0,0,357403,31352,65300,37403,1
20000, 60 months,16.14,487.86,C,C4,4 years,RENT,30000,Debt consolidation,1,10983,948.82,0,487.86,6,0,0,131547,34891,15000,30647,1
6600, 36 months,11.31,217.05,B,B3,nan,RENT,23000,Debt consolidation,0,6837,219.13,0,225.35,2,0,0,22112,10101,9900,6912,1
40000, 60 months,10.33,856.4,B,B1,10+ years,MORTGAGE,115000,Home improvement,0,29492,1678.37,0,856.4,3,0,0,988820,53618,78200,24355,1
16000, 36 months,8.81,507.39,A,A5,9 years,RENT,106000,Credit card refinancing,0,18443,1003.03,0,507.39,14,0,0,567807,529032,36000,525307,1
10000, 36 months,23.4,389.19,E,E1,10+ years,MORTGAGE,130000,Debt consolidation,1,22231,434.69,0,454.19,6,0,0,238500,47627,33100,30000,1
8000, 36 months,7.56,249.08,A,A3,10+ years,MORTGAGE,250000,Other,0,133414,8053.551386,0,8058.59,6,0,0,950005,203042,174100,103095,1
40000, 36 months,10.72,1304.26,B,B2,10+ years,MORTGAGE,150000,Debt consolidation,1,73701,2441.77,0,1304.26,4,0,0,621497,119413,182300,64625,1
40000, 60 months,15.02,952.02,C,C3,nan,MORTGAGE,31200,Home improvement,0,30196,1853.97,0,952.02,5,0,0,351223,59016,46500,29460,1
3000, 36 months,13.56,101.9,C,C1,6 years,MORTGAGE,35000,Debt consolidation,0,400,200.41,0,101.9,3,0,0,13295,9765,1000,11595,1
40000, 36 months,6.46,1225.24,A,A1,4 years,MORTGAGE,135000,Credit card refinancing,0,46366,1210.89,0,1232.42,0,0,0,454395,163068,52400,200145,1
8000, 36 months,18.94,293.01,D,D2,8 years,MORTGAGE,98000,Home improvement,0,24518,322.47,0,335.1,8,0,0,232125,93498,17300,88637,1
13000, 60 months,12.98,295.66,B,B5,10+ years,MORTGAGE,33000,Debt consolidation,0,6086,577.26,0,295.66,3,0,0,118501,12181,13800,12201,1
10000, 36 months,10.72,326.07,B,B2,9 years,RENT,55000,Credit card refinancing,1,7658,643.21,0,326.07,8,0,0,64046,46074,8000,46446,1
40000, 60 months,8.19,814.7,A,A4,1 year,MORTGAGE,384000,Debt consolidation,1,34290,1602.1,0,814.7,8,0,0,297722,209975,47600,169722,1
19200, 60 months,10.33,411.07,B,B1,< 1 year,RENT,80000,Credit card refinancing,0,6099,745.01,0,411.07,2,0,0,42772,17062,15800,16272,1
4000, 36 months,16.14,140.91,C,C4,10+ years,RENT,40000,Business,0,4877,276.44,0,140.91,1,0,0,11300,4877,11300,0,1
16000, 36 months,8.19,502.79,A,A4,5 years,MORTGAGE,42900,Debt consolidation,2,509,994.66,0,502.79,4,0,0,81018,45497,20000,56518,1
16000, 36 months,7.02,494.18,A,A2,10+ years,MORTGAGE,65000,Debt consolidation,0,13035,979,0,494.18,3,0,0,259515,52603,33000,47615,1
8250, 36 months,10.33,267.49,B,B1,2 years,RENT,40000,Debt consolidation,0,13157,898.6,0,267.49,3,0,0,108317,117301,16200,86317,1
40000, 36 months,7.02,1235.45,A,A2,< 1 year,OWN,175000,Other,3,32974,2447.5,0,1235.45,4,0,0,300060,89303,35500,64860,1
3000, 36 months,24.37,118.29,E,E2,10+ years,MORTGAGE,80000,Business,0,50416,230.49,0,118.29,1,0,0,279700,50416,48700,0,1
3125, 36 months,6.46,95.73,A,A1,8 years,MORTGAGE,50000,Credit card refinancing,0,9812,189.78,0,95.73,3,0,0,151878,114842,22000,107972,1
21000, 60 months,8.81,434,A,A5,1 year,MORTGAGE,40000,Debt consolidation,0,20925,852.58,0,434,0,0,0,136472,20925,36200,0,1
12000, 60 months,13.56,276.49,C,C1,4 years,RENT,55000,Credit card refinancing,0,12597,539.42,0,276.49,2,0,0,27790,16353,11300,9490,1
10000, 36 months,8.19,314.25,A,A4,2 years,MORTGAGE,55400,Credit card refinancing,0,14028,621.68,0,314.25,3,0,0,213587,16307,34500,4800,1
16000, 36 months,10.33,518.76,B,B1,3 years,RENT,71000,Debt consolidation,2,10686,1023.75,0,518.76,11,0,0,143210,51850,86600,52610,1
25000, 36 months,19.92,928.08,D,D3,1 year,OWN,120000,Debt consolidation,0,10325,1814.66,0,928.08,7,0,0,73027,53641,13600,55727,1
20000, 60 months,10.72,432.07,B,B2,10+ years,MORTGAGE,60000,Credit card refinancing,0,15201,846.27,0,432.07,5,0,0,319980,29757,30100,52573,1
11025, 60 months,10.33,236.05,B,B1,1 year,OWN,66000,Credit card refinancing,0,13331,232.89,0,242.38,6,0,0,222853,83142,13500,72453,1
18400, 36 months,13.56,624.95,C,C1,6 years,MORTGAGE,160000,Credit card refinancing,0,52430,1229.11,0,624.95,6,0,0,436409,122498,75000,111331,1
2200, 36 months,26.31,89.01,E,E4,1 year,OWN,13520,Debt consolidation,0,1257,173.2,0,89.01,4,0,0,18675,16152,6500,10375,1
12000, 36 months,8.19,377.09,A,A4,4 years,MORTGAGE,60000,Debt consolidation,1,16770,745.99,0,377.09,6,0,0,154699,32035,14200,18656,1
40000, 36 months,11.31,1315.43,B,B3,5 years,MORTGAGE,92000,Debt consolidation,0,64550,2593.16,0,1315.43,1,0,0,84127,68965,40600,12227,1
22950, 36 months,12.98,773.06,B,B5,6 years,RENT,100000,Debt consolidation,0,22028,1521.3,0,773.06,3,0,0,123265,63298,46600,53465,1
16000, 36 months,13.56,543.43,C,C1,< 1 year,OWN,72000,Home improvement,0,8275,615.75,0,633.83,2,0,0,72492,35252,20700,51792,1
40000, 36 months,8.81,1268.46,A,A5,1 year,MORTGAGE,127000,Debt consolidation,0,26935,2507.55,0,1268.46,0,0,0,90138,43896,43000,40338,1
15000, 36 months,11.31,493.29,B,B3,10+ years,MORTGAGE,114164,Home improvement,1,13471,972.44,0,493.29,5,0,0,397367,152965,53500,204633,1
15000, 60 months,12.98,341.15,B,B5,< 1 year,MORTGAGE,50000,Debt consolidation,0,8423,373.61,0,389.83,9,0,0,359168,105228,15900,99615,1
10000, 36 months,11.8,331.19,B,B4,8 years,RENT,64000,Debt consolidation,0,6288,616.5,0,331.19,5,0,0,12500,6288,10000,0,1
20000, 60 months,15.02,476.01,C,C3,5 years,RENT,50000,Debt consolidation,1,3851,926.99,0,476.01,2,0,0,84229,34355,33300,43129,1
4000, 36 months,7.02,123.55,A,A2,8 years,OWN,40000,Home improvement,0,3030,269.76,0,123.55,4,0,0,73200,13539,60200,12000,1
10000, 60 months,16.91,248.05,C,C5,7 years,RENT,26000,Major purchase,1,1465,482.01,0,248.05,3,0,0,30762,11985,10000,20762,1
10000, 36 months,14.47,344.07,C,C2,2 years,RENT,55000,Credit card refinancing,0,14326,676.08,0,344.07,2,0,0,113948,108128,20600,91348,1
16000, 60 months,10.33,342.56,B,B1,1 year,MORTGAGE,90000,Debt consolidation,0,21050,671.35,0,342.56,3,0,0,315346,300463,30700,264746,1
2000, 36 months,18.94,73.26,D,D2,2 years,RENT,49000,Other,0,5765,143.36,0,73.26,1,0,0,16000,9633,7000,9000,1
35000, 36 months,18.94,1281.9,D,D2,10+ years,MORTGAGE,102501,Debt consolidation,1,42444,2508.56,0,1281.9,2,0,0,619568,242952,36450,193937,1
20000, 36 months,6.46,612.62,A,A1,< 1 year,RENT,130000,Major purchase,0,9235,1214.47,0,612.62,4,0,0,153985,42887,77300,75385,1
28000, 60 months,22.35,778.92,D,D5,< 1 year,RENT,35360,Debt consolidation,1,11044,1505.69,0,778.92,4,0,0,72787,53659,12200,56987,1
24000, 36 months,8.81,761.08,A,A5,8 years,MORTGAGE,165000,Debt consolidation,2,3711,1504.54,0,761.08,3,0,0,130104,22813,32900,21800,1
15000, 36 months,8.19,471.37,A,A4,nan,RENT,60000,Credit card refinancing,0,11853,912.03,0,471.37,1,0,0,20900,11853,20900,0,1
10000, 36 months,11.8,331.19,B,B4,6 years,MORTGAGE,105000,Debt consolidation,0,9774,652.55,0,331.19,9,0,0,248962,43293,19800,38597,1
20000, 36 months,8.19,628.49,A,A4,< 1 year,MORTGAGE,57000,Debt consolidation,0,8558,1243.33,0,628.49,0,0,0,224671,33265,19000,47141,1
9000, 36 months,10.72,293.46,B,B2,2 years,RENT,88000,Debt consolidation,0,9119,578.88,0,293.46,2,0,0,60471,43131,9800,48871,1
11000, 36 months,10.72,358.67,B,B2,nan,RENT,39500,Debt consolidation,1,14221,707.51,0,358.67,6,0,0,68825,34924,24500,38025,1
15000, 36 months,8.19,471.37,A,A4,3 years,RENT,72000,Credit card refinancing,1,7762,512.32,0,522.56,4,0,0,38800,14817,18500,10000,1
21000, 60 months,12.98,477.6,B,B5,10+ years,MORTGAGE,125000,Debt consolidation,4,17092,932.48,0,477.6,6,0,0,482255,42683,29000,29255,1
20000, 36 months,6.46,612.62,A,A1,2 years,MORTGAGE,60000,Credit card refinancing,0,22910,1214.47,0,612.62,6,0,0,282522,46081,56700,39447,1
40000, 36 months,11.8,1324.76,B,B4,10+ years,RENT,84000,Debt consolidation,0,13195,2610.19,0,1324.76,3,0,0,29150,19043,5800,7850,1
35000, 36 months,8.81,1109.9,A,A5,1 year,MORTGAGE,150000,Credit card refinancing,0,126060,2194.1,0,1109.9,1,0,0,584063,127478,20200,16863,1
19000, 60 months,11.8,420.73,B,B4,10+ years,MORTGAGE,102000,Debt consolidation,0,14208,822.78,0,420.73,0,0,0,408602,79752,23100,90031,1
6000, 36 months,17.97,216.83,D,D1,5 years,MORTGAGE,90000,Car financing,0,47369,424.68,0,216.83,6,0,0,453907,226523,46200,236720,1
7150, 36 months,14.47,246.01,C,C2,1 year,MORTGAGE,40000,Debt consolidation,1,5740,237.39,0,246.01,5,0,0,215262,11824,2800,14355,1
27200, 60 months,19.92,719.43,D,D3,10+ years,RENT,54254,Debt consolidation,0,17351,1559.29,0,863.31,4,0,0,44500,22041,10900,12000,1
27500, 60 months,16.14,670.8,C,C4,4 years,MORTGAGE,400000,Business,1,11632,670.8,0,707.79,14,0,0,329640,36490,17800,31589,1
7800, 36 months,14.47,268.37,C,C2,10+ years,MORTGAGE,93000,Debt consolidation,1,9344,527.33,0,268.37,6,0,0,200173,39447,23600,35728,1
15000, 36 months,7.02,463.3,A,A2,10+ years,RENT,125000,Credit card refinancing,0,27769,917.82,0,463.3,2,0,0,134414,43924,92400,29014,1
23000, 36 months,6.46,704.51,A,A1,10+ years,MORTGAGE,103000,Debt consolidation,0,14350,1396.64,0,704.51,3,0,0,195745,27996,116800,22000,1
8000, 36 months,8.81,253.7,A,A5,< 1 year,RENT,120000,Debt consolidation,1,23350,501.53,0,253.7,5,0,0,82921,47092,52800,27121,1
20000, 36 months,8.81,634.23,A,A5,< 1 year,OWN,45000,Debt consolidation,1,4732,1253.78,0,634.23,4,0,0,46676,12890,21200,24476,1
12000, 36 months,16.14,422.72,C,C4,< 1 year,MORTGAGE,84000,Debt consolidation,2,4792,829.3,0,422.72,6,0,0,96995,69322,2600,80495,1
5000, 36 months,7.56,155.67,A,A3,5 years,MORTGAGE,98000,Credit card refinancing,0,10190,5013.65,0,5016.8,4,0,0,67363,50831,7500,48863,1
8000, 36 months,11.8,264.96,B,B4,3 years,MORTGAGE,51320,Debt consolidation,0,8021,522.05,0,264.96,4,0,0,269252,142828,11500,148562,1
25000, 36 months,27.27,1024.26,E,E5,10+ years,MORTGAGE,704000,Home buying,1,144061,1991.71,0,1024.26,5,0,0,1435100,360062,166300,244800,1
25000, 60 months,11.8,553.59,B,B4,5 years,RENT,90000,Debt consolidation,0,17710,1082.6,0,553.59,4,0,0,204098,147497,66700,131398,1
14225, 36 months,23.4,553.62,E,E1,2 years,MORTGAGE,142500,Debt consolidation,1,11258,1079.5,0,553.62,3,0,0,546441,86982,12400,116241,1
22000, 60 months,12.98,500.35,B,B5,1 year,RENT,55000,Debt consolidation,1,28155,976.9,0,500.35,8,0,0,188638,59679,145800,36138,1
15400, 60 months,18.94,398.98,D,D2,1 year,RENT,56810,Debt consolidation,2,11217,773.65,0,398.98,7,0,0,77301,55829,19400,52401,1
2500, 36 months,23.4,97.3,E,E1,5 years,OWN,33000,Debt consolidation,3,657,189.72,0,97.3,8,0,0,150050,48914,1500,60500,1
10000, 36 months,8.81,317.12,A,A5,2 years,RENT,55000,Debt consolidation,0,1585,346.49,0,353.83,3,0,0,25295,7556,3200,18295,1
20000, 36 months,10.72,652.13,B,B2,3 years,RENT,70000,Debt consolidation,0,24124,1286.39,0,652.13,0,0,0,33000,24124,25700,0,1
4800, 36 months,10.72,156.52,B,B2,10+ years,RENT,80000,Credit card refinancing,0,17077,172.25,0,176.54,4,0,0,100661,66460,10800,76361,1
7000, 36 months,11.8,231.84,B,B4,10+ years,MORTGAGE,90000,Debt consolidation,1,21862,224.96,0,231.84,14,0,0,298200,31178,37000,12000,1
22400, 60 months,11.8,496.02,B,B4,6 years,MORTGAGE,145000,Debt consolidation,0,29408,970.01,0,496.02,4,0,0,534673,56280,13500,44174,1
6000, 36 months,10.33,194.54,B,B1,8 years,RENT,28390,Credit card refinancing,0,2965,383.92,0,194.54,0,0,0,22302,12271,4900,16402,1
4800, 36 months,15.02,166.45,C,C3,2 years,MORTGAGE,76000,Home improvement,2,10625,326.89,0,166.45,11,0,0,306502,57059,22900,65880,1
20000, 36 months,6.46,612.62,A,A1,nan,RENT,54996,Debt consolidation,1,31653,1171.41,0,612.62,4,0,0,129927,47222,64600,32927,1
16000, 36 months,7.02,494.18,A,A2,6 years,MORTGAGE,83000,Credit card refinancing,0,27587,979,0,494.18,2,0,0,425556,300461,68400,268956,1
30000, 60 months,11.8,664.31,B,B4,10+ years,MORTGAGE,98000,Debt consolidation,0,44253,1299.12,0,664.31,8,0,0,509471,138043,62300,108506,1
18000, 36 months,7.56,560.41,A,A3,< 1 year,MORTGAGE,173000,Debt consolidation,1,8019,1109.48,0,560.41,7,0,0,371000,15688,31300,15000,1
30000, 36 months,17.97,1084.13,D,D1,< 1 year,OWN,60000,Credit card refinancing,0,28869,2048.47,0,1084.13,3,0,0,34420,32603,29300,5120,1
15000, 60 months,8.19,305.52,A,A4,10+ years,MORTGAGE,160000,Debt consolidation,1,52112,600.8,0,305.52,7,0,0,665216,80352,45800,51946,1
20000, 60 months,11.8,442.88,B,B4,10+ years,MORTGAGE,57200,Credit card refinancing,0,36729,866.09,0,442.88,2,0,0,420296,43883,66800,21313,1
2200, 36 months,19.92,81.68,D,D3,10+ years,MORTGAGE,46500,Other,0,3701,159.71,0,81.68,4,0,0,320644,22172,4100,19544,1
21600, 60 months,16.91,535.78,C,C5,10+ years,OWN,95628,Debt consolidation,3,12241,1041.12,0,535.78,13,0,0,129701,89535,43700,85001,1
18000, 36 months,7.56,560.41,A,A3,10+ years,RENT,250000,Medical expenses,0,8501,1109.48,0,560.41,5,0,0,60526,28546,15100,43826,1
6000, 36 months,15.02,208.06,C,C3,2 years,RENT,32484,Credit card refinancing,1,19811,408.61,0,208.06,2,0,0,39400,25355,30500,8400,1
5000, 36 months,16.91,178.04,C,C5,10+ years,RENT,85000,Debt consolidation,0,22133,178.04,0,185.09,7,0,0,108609,94433,14800,85609,1
14000, 36 months,6.46,428.84,A,A1,2 years,RENT,45000,Credit card refinancing,0,11577,850.14,0,428.84,3,0,0,49769,47813,9700,27969,1
16000, 36 months,7.56,498.15,A,A3,1 year,MORTGAGE,152000,Home improvement,1,9422,986.22,0,498.15,3,0,0,430720,62891,14000,102820,1
